No,Pattern,Intent,Trigger,Web,Electron,SwiftUI,React Native,Flutter,Accessibility
1,Data Table,Display structured tabular data with sorting/filtering,View structured data,"DataTable with TanStack Table, sortable columns, pagination","Same as web, consider virtualization for large datasets, column resize","Table view with custom columns, no native DataTable equivalent","FlatList with custom row component, or react-native-table-component","DataTable widget from Material, DataColumn and DataRow, sortable","Column headers as buttons for sort, aria-sort, row selection announced"
2,Card Grid,Display collection of items as visual cards,Browse collection,"CSS Grid with Card components, responsive columns, gap spacing","Same as web, grid layout, consistent card sizing","LazyVGrid with adaptive columns, GridItem for sizing","FlatList numColumns prop, or custom grid with flexWrap","GridView.builder or Wrap widget, SliverGrid for sliver context","role='list' on container, role='listitem' on cards, focus order"
3,List View,Display items in vertical scrollable list,Browse sequential items,"ScrollArea with list items, hover states, click handlers","Same as web, virtualized list for performance, keyboard navigation","List with ForEach, NavigationLink for detail navigation","FlatList with renderItem, keyExtractor, separators","ListView.builder for performance, ListTile for items","role='list', role='listitem', aria-posinset and aria-setsize"
4,Master-Detail,List with adjacent detail panel,Select item to view details,"ResizablePanelGroup horizontal, list left and detail right","Same as web, remember panel sizes, optional split window","NavigationSplitView with sidebar and detail columns, iPad native","Custom split view or react-navigation drawer with content","Row with Expanded ListView and detail Container, responsive","Selection announced, detail content live region or focus shift"
5,Tree View,Hierarchical expandable data structure,Explore nested content,"Custom tree with Collapsible, indentation levels, expand icons","Same as web, keyboard navigation (arrows), memory of expanded state","OutlineGroup with DisclosureGroup, native outline style","Custom TreeView component with recursive rendering, Animated","ExpansionTile widget, nested children, custom indent","aria-expanded on nodes, level indication, arrow key navigation"
6,Gallery,Display media items with preview and lightbox,Browse images or media,"CSS Grid of images, Dialog lightbox on click, navigation arrows","Same as web, native image loading, full-screen option","ScrollView with LazyVGrid, fullScreenCover for lightbox","FlatList horizontal, react-native-image-viewing for lightbox","GridView with Image widgets, showDialog for preview, Hero animation","Image alt text, lightbox focus trap, arrow key navigation"
7,Kanban Board,Organize items in draggable columns,Project or task management,"Drag and drop library (dnd-kit), horizontal columns, card items","Same as web, native feel drag feedback, column persistence","Custom implementation with drag gesture, no native Kanban","react-native-draggable-flatlist or custom drag implementation","Custom drag-drop or flutter_draggable_gridview, Column layout","Drag announced, drop zones described, keyboard drag support"
8,Timeline,Chronological event display,View history or activity,"Custom Timeline component with vertical line, event nodes","Same as web, time-relative formatting, infinite scroll up","Custom VStack with line, time formatting, no native Timeline","Custom Timeline component, FlatList with custom rendering","Timeline package or custom Column with positioned line, CircleAvatars","time element for dates, ordered list semantics, chronological order"
9,Stats Dashboard,Display key metrics prominently,Overview of performance,"Card grid with large numbers, trend indicators, sparklines","Same as web, auto-refresh consideration, chart libraries","LazyVGrid of stat cards, custom chart views, SwiftCharts","Card components with Text for stats, react-native-chart-kit","Card widgets with large Text, fl_chart for sparklines","Metrics as text not just visual, trend direction described"
10,Calendar View,Display date-based events and scheduling,View and manage events,"Calendar component with event dots, click to view day details","Same as web, sync with system calendar consideration","DatePicker or custom calendar grid, EventKit integration","react-native-calendars or custom calendar grid, gesture handling","TableCalendar package or custom GridView, event indicators","Grid navigation, date announcement, event count per day"
11,Chart,Visualize data relationships and trends,Understand data patterns,"Recharts or Chart.js in ChartContainer, responsive, accessible","Same as web, chart libraries, export options","Swift Charts framework, native chart types, accessibility labels","react-native-chart-kit or Victory Native, responsive sizing","fl_chart package, LineChart/BarChart/PieChart widgets","Alternative data table, patterns not just color, aria-label descriptions"
12,Profile Card,Display user or entity summary,View user information,"Card with Avatar, name, metadata, action buttons","Same as web, hover card for quick preview, click for full profile","VStack with profile content, AsyncImage for avatar, navigation","Card component with Image and Text, Pressable for navigation","Card widget with Column, CircleAvatar, action buttons","Heading for name, image alt text, action buttons labeled"
13,Activity Feed,Stream of recent actions or events,Monitor activity,"ScrollArea with activity items, relative timestamps, infinite load","Same as web, real-time updates via IPC, notification badges","List with activity items, .refreshable, background refresh","FlatList with activity items, real-time via WebSocket, pull refresh","ListView.builder with activity tiles, stream updates, refresh","New items announced via live region, time relative formatting"
14,Search Results,Display filtered/searched content,Query matches,"List of result items, highlighting matched text, faceted filters","Same as web, keyboard navigation, recent searches","List with search results, .searchable integration, highlight","FlatList with highlighted results, custom search bar","ListView.builder with results, TextField search, highlight matches","Result count announced, live region for updates, clear match indication"
15,Comparison Table,Side-by-side feature/product comparison,Compare options,"Table with sticky first column, feature rows, check/x indicators","Same as web, horizontal scroll, sticky headers and first column","Custom Table or Grid layout, horizontal scroll, sticky elements","ScrollView horizontal with custom table, sticky first column","DataTable with fixed first column, horizontal scroll","Column headers associated with cells, feature names as row headers"
