No,Pattern,Intent,Trigger,Web,Electron,SwiftUI,React Native,Flutter,Accessibility
1,Command Palette,Quick action search with keyboard-first interaction,Cmd/Ctrl+K hotkey,"Modal overlay with Command component, dimmed backdrop, centered placement","Floating BrowserWindow with vibrancy, spotlight-style, appears above all windows",".sheet with .searchable() modifier, native iOS search experience","Modal with FlatList, custom keyboard handling, react-native-modal","showDialog with TextField and ListView, Material search pattern","Focus trap, arrow key navigation, typeahead filtering, Escape to close"
2,Sidebar Navigation,Primary hierarchical app navigation always visible,App launch or toggle button,"Collapsible sidebar with ResizablePanelGroup, fixed position, hover to expand","Frameless window side panel, persisted width, system-native resize handle","NavigationSplitView with .navigationSplitViewStyle(.balanced), iPad/Mac native","DrawerLayoutAndroid or custom View with Animated width, react-navigation drawer","NavigationDrawer or permanent Drawer widget, Rail for collapsed state","role='navigation' landmark, arrow key between items, current page indicator"
3,Tab Bar Navigation,Top-level section switching for flat hierarchy,Tap on tab icons,"Tabs component at top or shadcn TabsList, underline or pill indicator","Bottom toolbar or top tab bar, consistent with web, keyboard navigable","TabView with .tabViewStyle(.page), native iOS tab bar at bottom","createBottomTabNavigator from react-navigation, safe area handling","BottomNavigationBar widget with NavigationDestination, Material 3 style","role='tablist', aria-selected, automatic activation on arrow keys"
4,Breadcrumb Navigation,Show and navigate hierarchical location in content,Always visible in content header,"Breadcrumb component with BreadcrumbLink, separator customizable","Same as web implementation, follows content area not window","NavigationStack with path binding, programmatic back navigation","Custom Breadcrumb component with Pressable links, flat hierarchy display","Breadcrumbs widget or custom Row with TextButtons, overflow handling","aria-label='breadcrumb', current page aria-current='page', linked items"
5,Back Navigation,Return to previous screen or context,Back button or system gesture,"Browser history or react-router navigate(-1), breadcrumb back link","BrowserWindow navigation, globalShortcut for Cmd+[, custom back button","NavigationStack automatic back, .navigationBarBackButtonHidden for custom","navigation.goBack(), headerLeft customization, gesture handlers","Navigator.pop(context), WillPopScope for confirmation, AppBar leading","Escape key shortcut, back button label describes destination"
6,Pagination,Navigate through paginated data sets,Page number or prev/next buttons,"Pagination component with PaginationLink, ellipsis for large ranges","Same as web, keyboard shortcuts for next/prev (Cmd+Arrow)","Custom pagination with Button group, no native equivalent","FlatList with onEndReached, or custom Pagination component","Pagination widget or PageView with PageController, dots indicator","aria-label for navigation, current page announcement, disabled states"
7,Stepper Navigation,Guide through multi-step process sequentially,Next/Back buttons within wizard,"Custom Stepper with step indicators, linear or non-linear progression","Same as web, progress persisted in electron-store across sessions","Custom stepper using ProgressView or custom step indicators",Step component from react-native-paper or custom implementation,"Stepper widget with Step children, horizontal or vertical orientation","aria-current='step', step completion status, error states announced"
8,Anchor Links,Jump to sections within long content,Click on table of contents link,"ScrollArea with id targets, smooth scroll behavior CSS","Same as web, smooth scrolling, scroll spy for active section","ScrollViewReader with scrollTo, programmatic scroll to anchor","ScrollView with scrollTo ref method, custom anchor tracking","SingleChildScrollView with GlobalKey targets, Scrollable.ensureVisible","Skip links for keyboard, focus management after jump, scroll position"
9,Search Navigation,Find and navigate to content via search,Focus on search input field,"Command component as search, or Input with search results dropdown","Spotlight-style search window, global Cmd+F triggers search mode",".searchable() modifier on List, NavigationLink in search results","SearchBar component with FlatList results, react-native-search-bar","SearchBar widget with SearchDelegate, showSearch function","Search role, aria-expanded for results, live region for result count"
10,Contextual Menu,Actions available for selected item,Right-click or long-press,"ContextMenu with ContextMenuItem, positioned at cursor","Native Menu integration via electron Menu.popup, context-aware items",".contextMenu modifier with Button actions, native iOS context menu","Custom context menu or react-native-context-menu-view, long press trigger","PopupMenuButton widget, showMenu for custom positioning","menu role, menuitem role, arrow navigation, Escape to close"
11,Quick Actions,Frequently used actions accessible from anywhere,Keyboard shortcuts,"DropdownMenu from floating action button, or Command palette section","Tray menu with recent actions, global shortcuts registered","Shortcuts app integration, keyboard shortcuts in menu bar","Floating action button with speed dial, react-native-fab","FloatingActionButton with SpeedDial pattern, or BottomSheet actions","Keyboard shortcut labels visible, action descriptions for screen readers"
12,Navigation Rail,Compact primary navigation for larger screens,Always visible on desktop,"Sidebar variant with icon-only collapsed state, tooltip labels","Vertical toolbar at window edge, icons only, hover for labels","Custom rail using VStack with Buttons, no native equivalent","Custom NavigationRail component, icons with optional labels","NavigationRail widget, destinations with icons and labels","role='navigation', tooltips for icon-only, keyboard navigable"
