No,Component,Category,Variants,Key Props,Accessibility,Animation,Composition,Common Mistakes,Code Example,Docs URL
1,Accordion,Layout,"single, multiple, collapsible","type, value, onValueChange, defaultValue, disabled","ARIA expanded/collapsed, keyboard arrow navigation, Enter/Space toggle","Radix built-in: height transition, fade content","AccordionItem > AccordionTrigger + AccordionContent","Using type='single' without collapsible prop","<Accordion type=""single"" collapsible><AccordionItem value=""item-1""><AccordionTrigger>Title</AccordionTrigger><AccordionContent>Content</AccordionContent></AccordionItem></Accordion>",https://ui.shadcn.com/docs/components/accordion
2,Alert,Feedback,"default, destructive","variant, className","role='alert', assertive for destructive","None (static component)","Alert > AlertTitle + AlertDescription","Not using destructive variant for errors","<Alert variant=""destructive""><AlertTitle>Error</AlertTitle><AlertDescription>Message</AlertDescription></Alert>",https://ui.shadcn.com/docs/components/alert
3,AlertDialog,Overlay,"default","open, onOpenChange, defaultOpen","Focus trap, Escape to close, aria-describedby","fade-in/out, zoom-in-95","AlertDialog > AlertDialogTrigger + AlertDialogContent > AlertDialogHeader + AlertDialogFooter","Not using for destructive confirmations","<AlertDialog><AlertDialogTrigger asChild><Button>Delete</Button></AlertDialogTrigger><AlertDialogContent>...</AlertDialogContent></AlertDialog>",https://ui.shadcn.com/docs/components/alert-dialog
4,AspectRatio,Layout,"1/1, 16/9, 4/3, custom","ratio","None (layout only)","None","AspectRatio wraps single child","Forgetting to set ratio prop","<AspectRatio ratio={16/9}><img src=""..."" className=""object-cover"" /></AspectRatio>",https://ui.shadcn.com/docs/components/aspect-ratio
5,Avatar,Data Display,"default, sizes","src, alt, fallback","alt text for image, fallback for failed load","None","Avatar > AvatarImage + AvatarFallback","Not providing fallback for broken images","<Avatar><AvatarImage src=""..."" /><AvatarFallback>JD</AvatarFallback></Avatar>",https://ui.shadcn.com/docs/components/avatar
6,Badge,Feedback,"default, secondary, destructive, outline","variant, className","Semantic only (not interactive)","None","Standalone component","Using as button (not focusable)","<Badge variant=""secondary"">Beta</Badge>",https://ui.shadcn.com/docs/components/badge
7,Breadcrumb,Navigation,"default","separator, className","aria-label='breadcrumb', current page aria-current","None","Breadcrumb > BreadcrumbList > BreadcrumbItem > BreadcrumbLink","Not marking current page with aria-current","<Breadcrumb><BreadcrumbList><BreadcrumbItem><BreadcrumbLink href=""/"">Home</BreadcrumbLink></BreadcrumbItem></BreadcrumbList></Breadcrumb>",https://ui.shadcn.com/docs/components/breadcrumb
8,Button,Form,"default, destructive, outline, secondary, ghost, link, sizes (sm, lg, icon)","variant, size, asChild, disabled","Focusable, Enter/Space activation, disabled state","hover:bg transition, active:scale-95 optional","Standalone or with asChild for custom element","Using div instead of button, no disabled styles","<Button variant=""outline"" size=""sm"">Click me</Button>",https://ui.shadcn.com/docs/components/button
9,Calendar,Form,"single, range, multiple","mode, selected, onSelect, disabled, initialFocus","Keyboard navigation (arrows), focus management","None (static dates)","Standalone, often with Popover for DatePicker","Not handling timezone correctly","<Calendar mode=""single"" selected={date} onSelect={setDate} />",https://ui.shadcn.com/docs/components/calendar
10,Card,Layout,"default","className","Semantic grouping with heading hierarchy","hover:shadow optional","Card > CardHeader + CardContent + CardFooter","Missing CardHeader for context","<Card><CardHeader><CardTitle>Title</CardTitle></CardHeader><CardContent>Content</CardContent></Card>",https://ui.shadcn.com/docs/components/card
11,Carousel,Layout,"default","orientation, opts (embla options)","Arrow key navigation, aria-roledescription","Slide transitions via Embla","Carousel > CarouselContent > CarouselItem + CarouselPrevious + CarouselNext","Not handling touch/swipe on mobile","<Carousel><CarouselContent><CarouselItem>Slide 1</CarouselItem></CarouselContent><CarouselPrevious /><CarouselNext /></Carousel>",https://ui.shadcn.com/docs/components/carousel
12,Checkbox,Form,"default, indeterminate","checked, onCheckedChange, disabled, id","Label association, keyboard Space toggle, indeterminate state","Check mark fade/scale","Checkbox + Label via htmlFor","Not associating label with checkbox","<div className=""flex items-center space-x-2""><Checkbox id=""terms"" /><Label htmlFor=""terms"">Accept terms</Label></div>",https://ui.shadcn.com/docs/components/checkbox
13,Collapsible,Layout,"default","open, onOpenChange, defaultOpen, disabled","aria-expanded, keyboard Enter toggle","Height transition on content","Collapsible > CollapsibleTrigger + CollapsibleContent","Using instead of Accordion for multiple items","<Collapsible><CollapsibleTrigger>Toggle</CollapsibleTrigger><CollapsibleContent>Content</CollapsibleContent></Collapsible>",https://ui.shadcn.com/docs/components/collapsible
14,Combobox,Form,"default, multiple, creatable","open, value, onValueChange, options","Listbox pattern, typeahead, arrow navigation","Popover open/close animation","Popover + Command composition pattern","Not filtering options on input","<Popover><PopoverTrigger><Button>Select...</Button></PopoverTrigger><PopoverContent><Command>...</Command></PopoverContent></Popover>",https://ui.shadcn.com/docs/components/combobox
15,Command,Navigation,"default, dialog","value, onValueChange, filter, loop","Listbox role, typeahead search, arrow navigation","List item highlighting","Command > CommandInput + CommandList > CommandGroup > CommandItem","Not using as palette (Cmd+K pattern)","<Command><CommandInput placeholder=""Search..."" /><CommandList><CommandGroup heading=""Suggestions""><CommandItem>Item</CommandItem></CommandGroup></CommandList></Command>",https://ui.shadcn.com/docs/components/command
16,ContextMenu,Overlay,"default","onOpenChange","Right-click activation, arrow navigation, Escape close","fade-in, zoom-in-95","ContextMenu > ContextMenuTrigger + ContextMenuContent > ContextMenuItem","Replacing native context menu without good reason","<ContextMenu><ContextMenuTrigger>Right click me</ContextMenuTrigger><ContextMenuContent><ContextMenuItem>Action</ContextMenuItem></ContextMenuContent></ContextMenu>",https://ui.shadcn.com/docs/components/context-menu
17,DataTable,Data Display,"default, sortable, filterable, paginated","columns, data, sorting, filtering, pagination","Column headers as buttons, sortable indicator, row selection","None (data changes)","Table with TanStack Table integration","Not virtualizing large datasets","<DataTable columns={columns} data={data} />",https://ui.shadcn.com/docs/components/data-table
18,DatePicker,Form,"single, range, presets","date, onDateChange, disabled","Calendar keyboard navigation, date format announcement","Calendar popover transition","Popover + Calendar composition","Wrong date format for locale","<Popover><PopoverTrigger><Button>{format(date, 'PPP')}</Button></PopoverTrigger><PopoverContent><Calendar selected={date} onSelect={setDate} /></PopoverContent></Popover>",https://ui.shadcn.com/docs/components/date-picker
19,Dialog,Overlay,"default, sheet-style","open, onOpenChange, modal","Focus trap, Escape close, aria-describedby, return focus","fade-in, zoom-in-95, slide for sheet","Dialog > DialogTrigger + DialogContent > DialogHeader + DialogFooter","Not trapping focus, closing unexpectedly","<Dialog><DialogTrigger asChild><Button>Open</Button></DialogTrigger><DialogContent><DialogHeader><DialogTitle>Title</DialogTitle></DialogHeader></DialogContent></Dialog>",https://ui.shadcn.com/docs/components/dialog
20,Drawer,Overlay,"default, directions","open, onOpenChange, direction","Focus trap, drag to dismiss, Escape close","Slide from direction with spring","Drawer > DrawerTrigger + DrawerContent","Using on desktop when Dialog is better","<Drawer><DrawerTrigger asChild><Button>Open</Button></DrawerTrigger><DrawerContent><DrawerHeader><DrawerTitle>Title</DrawerTitle></DrawerHeader></DrawerContent></Drawer>",https://ui.shadcn.com/docs/components/drawer
21,DropdownMenu,Overlay,"default, checkbox, radio","open, onOpenChange","Arrow navigation, typeahead, Escape close, submenu","fade-in, zoom-in-95","DropdownMenu > DropdownMenuTrigger + DropdownMenuContent > DropdownMenuItem","Not grouping related items","<DropdownMenu><DropdownMenuTrigger asChild><Button>Menu</Button></DropdownMenuTrigger><DropdownMenuContent><DropdownMenuItem>Item</DropdownMenuItem></DropdownMenuContent></DropdownMenu>",https://ui.shadcn.com/docs/components/dropdown-menu
22,Form,Form,"default with react-hook-form","control, name, render","Error announcement, label association, validation messages","None","Form + FormField + FormItem + FormLabel + FormControl + FormMessage","Not using with react-hook-form and zod","<Form {...form}><FormField control={form.control} name=""email"" render={({field}) => <FormItem><FormLabel>Email</FormLabel><FormControl><Input {...field} /></FormControl><FormMessage /></FormItem>} /></Form>",https://ui.shadcn.com/docs/components/form
23,HoverCard,Overlay,"default","open, onOpenChange, openDelay, closeDelay","Escape close, hover intent delay","fade-in, zoom-in-95","HoverCard > HoverCardTrigger + HoverCardContent","Using for critical information (not accessible on touch)","<HoverCard><HoverCardTrigger asChild><Link>@username</Link></HoverCardTrigger><HoverCardContent>User info...</HoverCardContent></HoverCard>",https://ui.shadcn.com/docs/components/hover-card
24,Input,Form,"default, file, disabled, error","type, placeholder, disabled, className","Label association, error state, placeholder as hint","focus:ring transition","Standalone with Label","Placeholder as label, no visible label","<div><Label htmlFor=""email"">Email</Label><Input id=""email"" type=""email"" placeholder=""Enter email"" /></div>",https://ui.shadcn.com/docs/components/input
