No,Animation,Type,Tailwind Class,Framer Motion,Duration,Easing,Use Cases,Performance,Reduced Motion
1,Fade In,Entrance,animate-in fade-in,"initial={{ opacity: 0 }} animate={{ opacity: 1 }}",200ms,ease-out,"Modals, overlays, popovers, tooltips, new content appearing",Excellent - opacity only,opacity: 1 (no animation)
2,Fade Out,Exit,animate-out fade-out,"exit={{ opacity: 0 }}",150ms,ease-in,"Closing overlays, removing elements, dismissing notifications",Excellent - opacity only,opacity: 0 (no animation)
3,Slide In From Top,Entrance,animate-in slide-in-from-top,"initial={{ y: '-100%' }} animate={{ y: 0 }}",200ms,ease-out,"Dropdown menus, notification banners, mobile nav",Good - transform only,translateY: 0 (no animation)
4,Slide In From Bottom,Entrance,animate-in slide-in-from-bottom,"initial={{ y: '100%' }} animate={{ y: 0 }}",300ms,ease-out,"Drawers, mobile sheets, action sheets, toasts",Good - transform only,translateY: 0 (no animation)
5,Slide In From Left,Entrance,animate-in slide-in-from-left,"initial={{ x: '-100%' }} animate={{ x: 0 }}",300ms,ease-out,"Sidebar navigation, side panels, mobile menu",Good - transform only,translateX: 0 (no animation)
6,Slide In From Right,Entrance,animate-in slide-in-from-right,"initial={{ x: '100%' }} animate={{ x: 0 }}",300ms,ease-out,"Side sheets, notification panels, detail views",Good - transform only,translateX: 0 (no animation)
7,Slide Out To Top,Exit,animate-out slide-out-to-top,"exit={{ y: '-100%' }}",150ms,ease-in,"Dismissing dropdowns, closing banners",Good - transform only,translateY: -100% instant
8,Slide Out To Bottom,Exit,animate-out slide-out-to-bottom,"exit={{ y: '100%' }}",200ms,ease-in,"Closing drawers, dismissing sheets",Good - transform only,translateY: 100% instant
9,Slide Out To Left,Exit,animate-out slide-out-to-left,"exit={{ x: '-100%' }}",200ms,ease-in,"Closing sidebars, page transitions",Good - transform only,translateX: -100% instant
10,Slide Out To Right,Exit,animate-out slide-out-to-right,"exit={{ x: '100%' }}",200ms,ease-in,"Closing side sheets, swipe to dismiss",Good - transform only,translateX: 100% instant
11,Zoom In,Entrance,animate-in zoom-in-95,"initial={{ scale: 0.95, opacity: 0 }} animate={{ scale: 1, opacity: 1 }}",200ms,ease-out,"Dialogs, modals, popovers, context menus, alerts",Good - transform + opacity,scale: 1 (no animation)
12,Zoom In 50,Entrance,animate-in zoom-in-50,"initial={{ scale: 0.5, opacity: 0 }} animate={{ scale: 1, opacity: 1 }}",300ms,spring,"Emphasis animations, successful actions, celebratory UI",Good - transform + opacity,scale: 1 (no animation)
13,Zoom Out,Exit,animate-out zoom-out-95,"exit={{ scale: 0.95, opacity: 0 }}",150ms,ease-in,"Closing dialogs, dismissing popovers",Good - transform + opacity,scale: 0.95 instant
14,Spin,Loading,animate-spin,"animate={{ rotate: 360 }} transition={{ repeat: Infinity, duration: 1, ease: 'linear' }}",1000ms,linear,"Loading spinners, refresh indicators, processing states",Good - transform only,opacity: 0.5 (static indicator)
15,Pulse,Loading,animate-pulse,"animate={{ opacity: [1, 0.5, 1] }} transition={{ repeat: Infinity, duration: 2 }}",2000ms,ease-in-out,"Skeleton loading, attention indicators, subtle emphasis",Excellent - opacity only,opacity: 0.5 (static)
16,Ping,Feedback,animate-ping,"animate={{ scale: [1, 2], opacity: [1, 0] }} transition={{ repeat: Infinity }}",1000ms,ease-out,"Notification badges, live indicators, activity dots",Good - transform + opacity,opacity: 1 (static indicator)
17,Bounce,Attention,animate-bounce,"animate={{ y: [0, -10, 0] }} transition={{ repeat: Infinity, duration: 1 }}",1000ms,"cubic-bezier(0.8,0,1,1)","Scroll indicators, attention grabbing, playful UI",Good - transform only,translateY: 0 (static)
18,Shake,Error,custom (keyframes),"animate={{ x: [0, -5, 5, -5, 5, 0] }} transition={{ duration: 0.4 }}",400ms,ease-in-out,"Form errors, invalid input, failed actions",Good - transform only,border-color: red (static)
19,Wiggle,Attention,custom (keyframes),"animate={{ rotate: [0, -3, 3, -3, 3, 0] }} transition={{ duration: 0.5 }}",500ms,ease-in-out,"Attention grabbing, playful emphasis, draggable hint",Good - transform only,none (static)
20,Scale Up,Hover,hover:scale-105,"whileHover={{ scale: 1.05 }}",150ms,ease-out,"Card hover, button emphasis, interactive elements",Good - transform only,none (static)
21,Scale Down,Active,active:scale-95,"whileTap={{ scale: 0.95 }}",50ms,ease-in,"Button press, click feedback, touch response",Excellent - quick transform,none (static)
22,Lift,Hover,"hover:shadow-lg hover:-translate-y-1","whileHover={{ y: -4, boxShadow: '0 10px 25px rgba(0,0,0,0.1)' }}",200ms,ease-out,"Cards, clickable items, elevated interactive elements",Good - transform + shadow,none (static)
23,Glow,Hover,hover:ring-2 hover:ring-primary/50,"whileHover={{ boxShadow: '0 0 20px rgba(59, 130, 246, 0.5)' }}",200ms,ease-out,"Primary buttons, focus states, featured items",Good - box-shadow,none (static)
24,Color Shift,Hover,hover:bg-primary/90,"whileHover={{ backgroundColor: 'var(--primary-hover)' }}",150ms,ease-out,"Buttons, links, interactive elements",Excellent - color only,none (static)
25,Border Highlight,Hover,hover:border-primary,"whileHover={{ borderColor: 'var(--primary)' }}",150ms,ease-out,"Input focus, card selection, form elements",Excellent - color only,none (static)
26,Skeleton Shimmer,Loading,"bg-gradient-to-r from-muted via-muted/50 to-muted bg-[length:200%_100%] animate-pulse","animate={{ backgroundPosition: ['200% 0', '-200% 0'] }} transition={{ repeat: Infinity, duration: 1.5 }}",1500ms,linear,"Loading placeholders, content skeletons, lazy loading",Good - background position,static muted background
27,Accordion Expand,Reveal,data-[state=open]:animate-accordion-down,"initial={{ height: 0 }} animate={{ height: 'auto' }}",200ms,ease-out,"Accordion content, collapsible sections, expandable panels",Good - height animation,instant expand
28,Accordion Collapse,Reveal,data-[state=closed]:animate-accordion-up,"exit={{ height: 0 }}",200ms,ease-in,"Accordion content collapse, section hiding",Good - height animation,instant collapse
29,Content Show,Entrance,"data-[state=open]:animate-in data-[state=open]:fade-in-0 data-[state=open]:zoom-in-95","initial={{ opacity: 0, scale: 0.95 }} animate={{ opacity: 1, scale: 1 }}",200ms,ease-out,"Dialog, popover, dropdown content appearing",Good - transform + opacity,instant show
30,Content Hide,Exit,"data-[state=closed]:animate-out data-[state=closed]:fade-out-0 data-[state=closed]:zoom-out-95","exit={{ opacity: 0, scale: 0.95 }}",150ms,ease-in,"Dialog, popover, dropdown content hiding",Good - transform + opacity,instant hide
31,Slide In Up Fade,Entrance,animate-in fade-in-0 slide-in-from-bottom-4,"initial={{ opacity: 0, y: 16 }} animate={{ opacity: 1, y: 0 }}",300ms,ease-out,"Toast notifications, new list items, content reveal",Good - transform + opacity,opacity: 1 instant
32,Slide In Down Fade,Entrance,animate-in fade-in-0 slide-in-from-top-4,"initial={{ opacity: 0, y: -16 }} animate={{ opacity: 1, y: 0 }}",200ms,ease-out,"Dropdown appearance, search results, suggestions",Good - transform + opacity,opacity: 1 instant
33,Spring Pop,Entrance,custom (keyframes),"initial={{ scale: 0.8 }} animate={{ scale: 1 }} transition={{ type: 'spring', stiffness: 400, damping: 17 }}",300ms,spring,"Celebration, success states, playful reveals",Good - transform only,scale: 1 instant
34,Elastic Scale,Entrance,custom (keyframes),"initial={{ scale: 0 }} animate={{ scale: 1 }} transition={{ type: 'spring', stiffness: 300, damping: 10 }}",500ms,spring,"Attention grabbing, onboarding, feature highlights",Good - transform only,scale: 1 instant
35,Stagger Children,Entrance,custom (variants),"variants={{ hidden: {}, show: { transition: { staggerChildren: 0.1 } } }}",varies,ease-out,"List items, grid items, sequential reveals",Good - coordinated,all items instant
36,Morph,Transition,custom (layout),"layout transition={{ type: 'spring', stiffness: 500, damping: 30 }}",300ms,spring,"Shared element transitions, layout animations",Moderate - layout calculation,instant position change
37,Page Fade,Page Transition,custom,"initial={{ opacity: 0 }} animate={{ opacity: 1 }} exit={{ opacity: 0 }}",300ms,ease-in-out,"Page transitions, route changes, view switching",Excellent - opacity only,instant transition
38,Page Slide,Page Transition,custom,"initial={{ x: '100%' }} animate={{ x: 0 }} exit={{ x: '-100%' }}",300ms,ease-in-out,"Wizard steps, mobile navigation, horizontal pages",Good - transform only,instant transition
39,Flip,Transition,custom (3D),"animate={{ rotateY: 180 }} transition={{ duration: 0.6 }}",600ms,ease-in-out,"Card flip, reveal animations, before/after",Moderate - 3D transform,instant flip
40,Blur In,Entrance,custom (filter),"initial={{ filter: 'blur(10px)', opacity: 0 }} animate={{ filter: 'blur(0px)', opacity: 1 }}",300ms,ease-out,"Image reveal, focus transitions, premium feel",Poor - filter animation,opacity: 1 instant
41,Typewriter,Text,custom,"children.split('').map with staggered opacity",varies,linear,"Hero text, chat messages, terminal effect",Good - text manipulation,full text instant
42,Counter,Number,custom,"animate={{ count }} with useMotionValue",varies,ease-out,"Statistics, achievements, number reveals",Excellent - number only,final number instant
43,Progress Fill,Feedback,transition-all duration-300,"animate={{ width: \`\${percent}%\` }}",300ms,ease-out,"Progress bars, loading indicators, completion status",Excellent - width only,instant width
44,Check Mark Draw,Feedback,custom (SVG path),"initial={{ pathLength: 0 }} animate={{ pathLength: 1 }}",300ms,ease-out,"Success confirmation, checkbox check, completion",Good - SVG path,instant check
45,Ripple,Touch,custom (scale + opacity),"animate={{ scale: [0, 2], opacity: [0.5, 0] }} at click position",400ms,ease-out,"Material ripple, button feedback, touch response",Good - transform + opacity,none
